ticker,sector
A,Health Care
AA,Materials
AAL,Industrials
AAMI,Financials
AAON,Industrials
AAP,Consumer Discretionary
AAPL,Information Technology
AAT,Real Estate
ABBV,Health Care
ABCB,Financials
ABG,Consumer Discretionary
ABM,Industrials
ABNB,Consumer Discretionary
ABR,Financials
ABT,Health Care
ACA,Industrials
ACAD,Health Care
ACGL,Financials
ACHC,Health Care
ACI,Consumer Staples
ACIW,Information Technology
ACLS,Information Technology
ACM,Industrials
ACMR,Information Technology
ACN,Information Technology
ACT,Financials
ADAM,Real Estate
ADBE,Information Technology
ADC,Real Estate
ADEA,Information Technology
ADI,Information Technology
ADM,Consumer Staples
ADMA,Health Care
ADNT,Consumer Discretionary
ADP,Industrials
ADSK,Information Technology
ADT,Consumer Discretionary
ADUS,Health Care
AEE,Utilities
AEIS,Information Technology
AEO,Consumer Discretionary
AEP,Utilities
AES,Utilities
AESI,Energy
AFG,Financials
AFL,Financials
AGCO,Industrials
AGNT,Real Estate
AGO,Financials
AGX,Industrials
AGYS,Information Technology
AHCO,Health Care
AHR,Real Estate
AIG,Financials
AIN,Industrials
AIR,Industrials
AIT,Industrials
AIZ,Financials
AJG,Financials
AKAM,Information Technology
AKR,Real Estate
ALB,Materials
ALG,Industrials
ALGM,Information Technology
ALGN,Health Care
ALGT,Industrials
ALHC,Health Care
ALK,Industrials
ALKS,Health Care
ALL,Financials
ALLE,Industrials
ALLY,Financials
ALRM,Financials
ALV,Consumer Discretionary
AM,Energy
AMAT,Information Technology
AMCR,Materials
AMD,Information Technology
AME,Industrials
AMG,Financials
AMGN,Health Care
AMH,Real Estate
AMKR,Information Technology
AMN,Health Care
AMP,Financials
AMPH,Health Care
AMR,Materials
AMRX,Health Care
AMSF,Financials
AMT,Real Estate
AMTM,Industrials
AMZN,Consumer Discretionary
AN,Consumer Discretionary
ANDE,Consumer Staples
ANET,Information Technology
ANF,Consumer Discretionary
ANIP,Health Care
AON,Financials
AORT,Health Care
AOS,Industrials
AOSL,Information Technology
APA,Energy
APAM,Financials
APD,Materials
APG,Industrials
APH,Information Technology
APLE,Real Estate
APO,Financials
APOG,Industrials
APP,Information Technology
APPF,Information Technology
APTV,Consumer Discretionary
AR,Energy
ARCB,Industrials
ARE,Real Estate
ARES,Financials
ARLO,Information Technology
ARMK,Consumer Discretionary
AROC,Energy
ARR,Real Estate
ARW,Information Technology
ARWR,Health Care
ASB,Financials
ASH,Materials
ASO,Consumer Discretionary
ASTE,Industrials
ASTH,Health Care
ATEN,Information Technology
ATI,Industrials
ATMU,Industrials
ATO,Utilities
ATR,Materials
AUB,Financials
AVA,Utilities
AVAV,Industrials
AVB,Real Estate
AVGO,Information Technology
AVNS,Health Care
AVNT,Materials
AVT,Information Technology
AVTR,Health Care
AVY,Materials
AWI,Industrials
AWK,Utilities
AWR,Utilities
AX,Financials
AXON,Industrials
AXP,Financials
AXTA,Materials
AYI,Industrials
AZO,Consumer Discretionary
AZTA,Health Care
AZZ,Industrials
BA,Industrials
BAC,Financials
BAH,Industrials
BALL,Materials
BANC,Financials
BANF,Financials
BANR,Financials
BAX,Health Care
BBT,Financials
BBWI,Consumer Discretionary
BBY,Consumer Discretionary
BC,Consumer Discretionary
BCC,Industrials
BCO,Industrials
BCPC,Materials
BDC,Information Technology
BDX,Health Care
BEN,Financials
BF-B,Consumer Staples
BFAM,Consumer Discretionary
BFH,Financials
BFS,Real Estate
BG,Consumer Staples
BGC,Financials
BHE,Information Technology
BHF,Financials
BIIB,Health Care
BILL,Information Technology
BIO,Health Care
BJ,Consumer Staples
BJRI,Consumer Discretionary
BKE,Consumer Discretionary
BKH,Utilities
BKNG,Consumer Discretionary
BKR,Energy
BKU,Financials
BL,Information Technology
BLD,Consumer Discretionary
BLDR,Industrials
BLFS,Health Care
BLK,Financials
BMI,Information Technology
BMRN,Health Care
BMY,Health Care
BNL,Real Estate
BNY,Financials
BOH,Financials
BOOT,Consumer Discretionary
BOX,Information Technology
BR,Industrials
BRC,Industrials
BRK-B,Financials
BRKR,Health Care
BRO,Financials
BROS,Consumer Discretionary
BRX,Real Estate
BSX,Health Care
BSY,Information Technology
BTSG,Health Care
BTU,Energy
BURL,Consumer Discretionary
BWA,Consumer Discretionary
BWXT,Industrials
BX,Financials
BXMT,Financials
BXP,Real Estate
BYD,Consumer Discretionary
C,Financials
CABO,Communication Services
CACI,Industrials
CAG,Consumer Staples
CAH,Health Care
CAKE,Consumer Discretionary
CALM,Consumer Staples
CALX,Information Technology
CALY,Consumer Discretionary
CAR,Industrials
CARG,Communication Services
CARR,Industrials
CART,Consumer Staples
CASH,Financials
CASY,Consumer Staples
CAT,Industrials
CATY,Financials
CAVA,Consumer Discretionary
CB,Financials
CBOE,Financials
CBRE,Real Estate
CBRL,Consumer Discretionary
CBSH,Financials
CBT,Materials
CBU,Financials
CC,Materials
CCI,Real Estate
CCK,Materials
CCL,Consumer Discretionary
CCOI,Communication Services
CCS,Consumer Discretionary
CDE,Materials
CDNS,Information Technology
CDP,Real Estate
CDW,Information Technology
CE,Materials
CEG,Utilities
CELH,Consumer Staples
CENT,Consumer Staples
CENTA,Consumer Staples
CENX,Materials
CERT,Health Care
CF,Materials
CFFN,Financials
CFG,Financials
CFR,Financials
CG,Financials
CGNX,Information Technology
CHCO,Financials
CHD,Consumer Staples
CHDN,Consumer Discretionary
CHE,Health Care
CHEF,Consumer Staples
CHH,Consumer Discretionary
CHRD,Energy
CHRW,Industrials
CHTR,Communication Services
CHWY,Consumer Discretionary
CI,Health Care
CIEN,Information Technology
CINF,Financials
CL,Consumer Staples
CLB,Energy
CLF,Materials
CLH,Industrials
CLSK,Information Technology
CLX,Consumer Staples
CMC,Materials
CMCSA,Communication Services
CME,Financials
CMG,Consumer Discretionary
CMI,Industrials
CMS,Utilities
CNC,Health Care
CNH,Industrials
CNK,Communication Services
CNM,Industrials
CNMD,Health Care
CNO,Financials
CNP,Utilities
CNR,Energy
CNS,Financials
CNX,Energy
CNXN,Information Technology
COCO,Consumer Staples
COF,Financials
COHR,Information Technology
COHU,Information Technology
COIN,Financials
COKE,Consumer Staples
COLB,Financials
COLL,Health Care
COLM,Consumer Discretionary
CON,Health Care
COO,Health Care
COP,Energy
COR,Health Care
CORT,Health Care
COST,Consumer Staples
CPAY,Financials
CPF,Financials
CPK,Utilities
CPRI,Consumer Discretionary
CPRT,Industrials
CPRX,Health Care
CPT,Real Estate
CR,Industrials
CRBG,Financials
CRC,Energy
CRGY,Energy
CRH,Materials
CRI,Consumer Discretionary
CRK,Energy
CRL,Health Care
CRM,Information Technology
CROX,Consumer Discretionary
CRS,Industrials
CRSR,Information Technology
CRUS,Information Technology
CRVL,Health Care
CRWD,Information Technology
CSCO,Information Technology
CSGP,Real Estate
CSL,Industrials
CSR,Real Estate
CSW,Industrials
CSX,Industrials
CTAS,Industrials
CTKB,Health Care
CTRE,Real Estate
CTS,Information Technology
CTSH,Information Technology
CTVA,Materials
CUBE,Real Estate
CUBI,Financials
CURB,Real Estate
CUZ,Real Estate
CVBF,Financials
CVCO,Consumer Discretionary
CVI,Energy
CVLT,Information Technology
CVNA,Consumer Discretionary
CVS,Health Care
CVSA,Consumer Discretionary
CVX,Energy
CW,Industrials
CWEN,Utilities
CWEN-A,Utilities
CWK,Real Estate
CWST,Industrials
